"Project Name","Owner","Date","Day","Work Time","Planned Hours","Actual Hours","Sprint","Main Work","Frontend Work","Backend/API Work","Database Work","Testing/Output","Daily Work Update","Completion %","Current Status","Blockers","Next Day Plan","Health Status","Final Submission Date","Expected Output"
"TixHub Booking Platform","Product/Engineering","2026-06-23","Tuesday","10:00-18:00","8","","Sprint 1 - Stabilization","Project baseline and tracker setup","Route/page inventory","API inventory","DB inventory","Management pack baseline","","100","Done","","","Green","2026-09-18","Management pack baseline"
"TixHub Booking Platform","Product/Engineering","2026-06-24","Wednesday","10:00-18:00","8","","Sprint 1 - Stabilization","Movie seat and QR stabilization","MyBookings QR review","QR scan/check-in review","qr_scans validation","Scanner fallback checklist","","100","Done/In progress","","","Green","2026-09-18","Scanner fallback checklist"
"TixHub Booking Platform","Product/Engineering","2026-06-25","Thursday","10:00-18:00","8","","Sprint 1 - Stabilization","Vendor dashboard improvements","Vendor dashboard, movie dashboard, seat UI","Vendor APIs, block seats","blocked_seat_type, screen_type","Build + smoke checks","","60","In progress","","","Yellow","2026-09-18","Build + smoke checks"
"TixHub Booking Platform","Product/Engineering","2026-06-26","Friday","10:00-18:00","8","","Sprint 1 - Stabilization","Movie booking payment consistency","Payment success/failure states","booking/payment handlers","payment_status alignment","Movie booking smoke test","","0","Planned","","","Yellow","2026-09-18","Movie booking smoke test"
"TixHub Booking Platform","Product/Engineering","2026-06-27","Saturday","10:00-15:00","5","","Sprint 1 - Stabilization","Movie flow bug fixing","Seat/payment edge cases","Booking conflict handling","Seat source verification","Multi-session seat test","","0","Planned","","","Yellow","2026-09-18","Multi-session seat test"
"TixHub Booking Platform","Product/Engineering","2026-06-29","Monday","10:00-18:00","8","","Sprint 1 - Stabilization","Vendor movie CRUD hardening","Add/Edit movie validation","Movie create/update APIs","movies table fields","CRUD checklist","","0","Planned","","","Yellow","2026-09-18","CRUD checklist"
"TixHub Booking Platform","Product/Engineering","2026-06-30","Tuesday","10:00-18:00","8","","Sprint 1 - Stabilization","Theatre and screen management","Theatre/screen UI split","Theatre/screen controllers","theatres, screens","Create/update smoke","","0","Planned","","","Yellow","2026-09-18","Create/update smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-01","Wednesday","10:00-18:00","8","","Sprint 1 - Stabilization","Show management and pricing","Show form UX","Shows/pricing APIs","shows, movie_pricing","Show CRUD test","","0","Planned","","","Yellow","2026-09-18","Show CRUD test"
"TixHub Booking Platform","Product/Engineering","2026-07-02","Thursday","10:00-18:00","8","","Sprint 1 - Stabilization","Vendor booking operations","Booking table/drawer polish","Vendor bookings API","bookings indexes review","Booking status checks","","0","Planned","","","Yellow","2026-09-18","Booking status checks"
"TixHub Booking Platform","Product/Engineering","2026-07-03","Friday","10:00-18:00","8","","Sprint 1 - Stabilization","Refunds, payouts, staff modules","Vendor module polish","Refund/payout/staff APIs","refunds, payouts, vendor_staff","Module smoke test","","0","Planned","","","Yellow","2026-09-18","Module smoke test"
"TixHub Booking Platform","Product/Engineering","2026-07-04","Saturday","10:00-15:00","5","","Sprint 1 - Stabilization","Sprint 1 regression","UI cleanup","API fixes","Schema checks","Sprint 1 report","","0","Planned","","","Yellow","2026-09-18","Sprint 1 report"
"TixHub Booking Platform","Product/Engineering","2026-07-06","Monday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Flight discovery stabilization","Flight list/detail fixes","Flight API mapping","flights review","Search/detail test","","0","Planned","","","Yellow","2026-09-18","Search/detail test"
"TixHub Booking Platform","Product/Engineering","2026-07-07","Tuesday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Flight traveller flow","Passenger form UX","Booking payload handling","flight_bookings","Passenger validation","","0","Planned","","","Yellow","2026-09-18","Passenger validation"
"TixHub Booking Platform","Product/Engineering","2026-07-08","Wednesday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Flight seat layout","Aircraft seat UI","Flight seat APIs","flight seat JSON","Seat select/block tests","","0","Planned","","","Yellow","2026-09-18","Seat select/block tests"
"TixHub Booking Platform","Product/Engineering","2026-07-09","Thursday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Flight payment and confirmation","Review/payment pages","Booking + PNR APIs","bookings, flight_bookings","Payment smoke","","0","Planned","","","Yellow","2026-09-18","Payment smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-10","Friday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Vendor flight dashboard","FlightModule polish","Vendor flight stats","flights","Vendor flight smoke","","0","Planned","","","Yellow","2026-09-18","Vendor flight smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-11","Saturday","10:00-15:00","5","","Sprint 2 - Core Booking Expansion","Flight bug fixing","Responsive fixes","API bug fixes","Data corrections","Sprint 2 mid check","","0","Planned","","","Yellow","2026-09-18","Sprint 2 mid check"
"TixHub Booking Platform","Product/Engineering","2026-07-13","Monday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Wallet stabilization","Wallet UX states","Wallet APIs","wallet_transactions","Add/cancel checks","","0","Planned","","","Yellow","2026-09-18","Add/cancel checks"
"TixHub Booking Platform","Product/Engineering","2026-07-14","Tuesday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","User booking history","MyBookings polish","my-bookings/cancel APIs","bookings/refunds","Cancel/refund tests","","0","Planned","","","Yellow","2026-09-18","Cancel/refund tests"
"TixHub Booking Platform","Product/Engineering","2026-07-15","Wednesday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Cross-module booking consistency","Shared status UI","Status normalization","bookings statuses","Movie/flight comparison","","0","Planned","","","Yellow","2026-09-18","Movie/flight comparison"
"TixHub Booking Platform","Product/Engineering","2026-07-16","Thursday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Vendor settlements","Settlement UI","Payment detail APIs","payment_details","Settlement smoke","","0","Planned","","","Yellow","2026-09-18","Settlement smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-17","Friday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Sprint 2 regression","UI bug fixes","Backend bug fixes","DB cleanup","Sprint report","","0","Planned","","","Yellow","2026-09-18","Sprint report"
"TixHub Booking Platform","Product/Engineering","2026-07-18","Saturday","10:00-15:00","5","","Sprint 2 - Core Booking Expansion","Buffer and backlog","Small UI fixes","Small API fixes","N/A","Build check","","0","Planned","","","Yellow","2026-09-18","Build check"
"TixHub Booking Platform","Product/Engineering","2026-07-20","Monday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Admin dashboard expansion","Admin UI improvements","Admin users/vendors APIs","users, bookings","Role smoke","","0","Planned","","","Yellow","2026-09-18","Role smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-21","Tuesday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Admin booking control","Admin booking table","Booking status API","bookings","Admin booking tests","","0","Planned","","","Yellow","2026-09-18","Admin booking tests"
"TixHub Booking Platform","Product/Engineering","2026-07-22","Wednesday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Admin vendor approval","Vendor approval UI","Vendor status APIs","users","Vendor status test","","0","Planned","","","Yellow","2026-09-18","Vendor status test"
"TixHub Booking Platform","Product/Engineering","2026-07-23","Thursday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Hotel vendor module","Hotel form/list polish","Vendor listings API","vendor_listings","Hotel create smoke","","0","Planned","","","Yellow","2026-09-18","Hotel create smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-24","Friday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Bus vendor module","Bus form/list polish","Vendor listings API","vendor_listings","Bus create smoke","","0","Planned","","","Yellow","2026-09-18","Bus create smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-25","Saturday","10:00-15:00","5","","Sprint 3 - Admin and Multi-Service Vendor","Train vendor module","Train form/list polish","Vendor listings API","vendor_listings","Train create smoke","","0","Planned","","","Yellow","2026-09-18","Train create smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-27","Monday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Multi-service dashboard","Service cards and routes","Dashboard stats by module","DB aggregation review","Vendor service smoke","","0","Planned","","","Yellow","2026-09-18","Vendor service smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-28","Tuesday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Catalog integration","Browse module polish","Catalog APIs","app_records/vendor_listings","User browse smoke","","0","Planned","","","Yellow","2026-09-18","User browse smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-29","Wednesday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Auth/RBAC hardening","Protected route review","Auth middleware review","users","Role access tests","","0","Planned","","","Yellow","2026-09-18","Role access tests"
"TixHub Booking Platform","Product/Engineering","2026-07-30","Thursday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Error and empty states","UI empty/error states","API error responses","N/A","Negative tests","","0","Planned","","","Yellow","2026-09-18","Negative tests"
"TixHub Booking Platform","Product/Engineering","2026-07-31","Friday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Sprint 3 regression","UI fixes","Backend fixes","DB fixes","Sprint report","","0","Planned","","","Yellow","2026-09-18","Sprint report"
"TixHub Booking Platform","Product/Engineering","2026-08-01","Saturday","10:00-15:00","5","","Sprint 3 - Admin and Multi-Service Vendor","Backlog buffer","Minor polish","Minor fixes","N/A","Build check","","0","Planned","","","Yellow","2026-09-18","Build check"
"TixHub Booking Platform","Product/Engineering","2026-08-03","Monday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Regression test planning","Test checklist UI map","API checklist","DB checklist","QA plan ready","","0","Planned","","","Yellow","2026-09-18","QA plan ready"
"TixHub Booking Platform","Product/Engineering","2026-08-04","Tuesday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Movie regression","Movie pages","Movie APIs","movies/seats/bookings","Movie test pass 1","","0","Planned","","","Yellow","2026-09-18","Movie test pass 1"
"TixHub Booking Platform","Product/Engineering","2026-08-05","Wednesday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Flight regression","Flight pages","Flight APIs","flights/bookings","Flight test pass 1","","0","Planned","","","Yellow","2026-09-18","Flight test pass 1"
"TixHub Booking Platform","Product/Engineering","2026-08-06","Thursday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Vendor regression","Vendor dashboards/modules","Vendor APIs","vendor tables","Vendor test pass 1","","0","Planned","","","Yellow","2026-09-18","Vendor test pass 1"
"TixHub Booking Platform","Product/Engineering","2026-08-07","Friday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Admin/wallet regression","Admin/wallet pages","Admin/wallet APIs","users/wallet","Admin/wallet tests","","0","Planned","","","Yellow","2026-09-18","Admin/wallet tests"
"TixHub Booking Platform","Product/Engineering","2026-08-08","Saturday","10:00-15:00","5","","Sprint 4 - QA and Hardening","Bug fixing round 1","Critical UI fixes","Critical API fixes","Data corrections","Bug report update","","0","Planned","","","Yellow","2026-09-18","Bug report update"
"TixHub Booking Platform","Product/Engineering","2026-08-10","Monday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Security validation","Client auth checks","JWT/RBAC validation","users","Security checklist","","0","Planned","","","Yellow","2026-09-18","Security checklist"
"TixHub Booking Platform","Product/Engineering","2026-08-11","Tuesday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Input validation","Form validation","Server validation","Constraints review","Validation tests","","0","Planned","","","Yellow","2026-09-18","Validation tests"
"TixHub Booking Platform","Product/Engineering","2026-08-12","Wednesday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Performance pass","Bundle/page checks","Query/API review","Index review","Performance notes","","0","Planned","","","Yellow","2026-09-18","Performance notes"
"TixHub Booking Platform","Product/Engineering","2026-08-13","Thursday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Payment hardening","Payment UX","Payment verification","bookings/payment fields","Payment tests","","0","Planned","","","Yellow","2026-09-18","Payment tests"
"TixHub Booking Platform","Product/Engineering","2026-08-14","Friday","10:00-18:00","8","","Sprint 4 - QA and Hardening","QR and scanner hardening","QR UI","Scanner APIs","qr_scans","Browser camera tests","","0","Planned","","","Yellow","2026-09-18","Browser camera tests"
"TixHub Booking Platform","Product/Engineering","2026-08-15","Saturday","10:00-15:00","5","","Sprint 4 - QA and Hardening","Bug fixing round 2","UI fixes","API fixes","DB fixes","Build + report","","0","Planned","","","Yellow","2026-09-18","Build + report"
"TixHub Booking Platform","Product/Engineering","2026-08-17","Monday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Deployment preparation","Env handling","Server config","Migration order","Deployment checklist","","0","Planned","","","Yellow","2026-09-18","Deployment checklist"
"TixHub Booking Platform","Product/Engineering","2026-08-18","Tuesday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Production build readiness","Frontend build","Backend start scripts","DB init review","Build verification","","0","Planned","","","Yellow","2026-09-18","Build verification"
"TixHub Booking Platform","Product/Engineering","2026-08-19","Wednesday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Logging and monitoring","Error display review","Server logs","N/A","Health checks","","0","Planned","","","Yellow","2026-09-18","Health checks"
"TixHub Booking Platform","Product/Engineering","2026-08-20","Thursday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Release candidate fixes","RC UI fixes","RC API fixes","RC DB fixes","RC test pass","","0","Planned","","","Yellow","2026-09-18","RC test pass"
"TixHub Booking Platform","Product/Engineering","2026-08-21","Friday","10:00-18:00","8","","Sprint 4 - QA and Hardening","Sprint 4 closure","Final QA fixes","Final backend fixes","Final schema review","QA summary","","0","Planned","","","Yellow","2026-09-18","QA summary"
"TixHub Booking Platform","Product/Engineering","2026-08-22","Saturday","10:00-15:00","5","","Sprint 4 - QA and Hardening","Release candidate buffer","UI polish","API polish","N/A","RC build","","0","Planned","","","Yellow","2026-09-18","RC build"
"TixHub Booking Platform","Product/Engineering","2026-08-24","Monday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","UAT preparation","UAT scripts/screens","UAT test accounts","Seed data","UAT pack ready","","0","Planned","","","Yellow","2026-09-18","UAT pack ready"
"TixHub Booking Platform","Product/Engineering","2026-08-25","Tuesday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","User UAT cycle","User journey fixes","Booking fixes","Booking data fixes","UAT user report","","0","Planned","","","Yellow","2026-09-18","UAT user report"
"TixHub Booking Platform","Product/Engineering","2026-08-26","Wednesday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Vendor UAT cycle","Vendor page fixes","Vendor API fixes","Vendor data fixes","UAT vendor report","","0","Planned","","","Yellow","2026-09-18","UAT vendor report"
"TixHub Booking Platform","Product/Engineering","2026-08-27","Thursday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Admin UAT cycle","Admin page fixes","Admin API fixes","Admin data fixes","UAT admin report","","0","Planned","","","Yellow","2026-09-18","UAT admin report"
"TixHub Booking Platform","Product/Engineering","2026-08-28","Friday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","UAT bug triage","High-priority UI fixes","High-priority API fixes","Data corrections","UAT bug list","","0","Planned","","","Yellow","2026-09-18","UAT bug list"
"TixHub Booking Platform","Product/Engineering","2026-08-29","Saturday","10:00-15:00","5","","Sprint 5 - UAT and Deployment","UAT buffer","Small UAT fixes","Small UAT fixes","N/A","Build check","","0","Planned","","","Yellow","2026-09-18","Build check"
"TixHub Booking Platform","Product/Engineering","2026-08-31","Monday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Final feature freeze","UI freeze","API freeze","Schema freeze","Freeze checklist","","0","Planned","","","Yellow","2026-09-18","Freeze checklist"
"TixHub Booking Platform","Product/Engineering","2026-09-01","Tuesday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Regression pass 2","Full UI regression","Full API regression","DB verification","Regression report","","0","Planned","","","Yellow","2026-09-18","Regression report"
"TixHub Booking Platform","Product/Engineering","2026-09-02","Wednesday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Data migration rehearsal","N/A","Migration scripts","Migration rehearsal","Migration report","","0","Planned","","","Yellow","2026-09-18","Migration report"
"TixHub Booking Platform","Product/Engineering","2026-09-03","Thursday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Deployment rehearsal","Build/deploy UI","Backend deploy","DB deploy","Rehearsal report","","0","Planned","","","Yellow","2026-09-18","Rehearsal report"
"TixHub Booking Platform","Product/Engineering","2026-09-04","Friday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Production readiness review","UI signoff","API signoff","DB signoff","Go/no-go notes","","0","Planned","","","Yellow","2026-09-18","Go/no-go notes"
"TixHub Booking Platform","Product/Engineering","2026-09-05","Saturday","10:00-15:00","5","","Sprint 5 - UAT and Deployment","Release buffer","Final polish","Final polish","Backup check","Build check","","0","Planned","","","Yellow","2026-09-18","Build check"
"TixHub Booking Platform","Product/Engineering","2026-09-07","Monday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Final bug fixing","P1/P2 UI bugs","P1/P2 API bugs","Data fixes","Bug tracker update","","0","Planned","","","Yellow","2026-09-18","Bug tracker update"
"TixHub Booking Platform","Product/Engineering","2026-09-08","Tuesday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Payment and booking final test","Booking UI","Payment APIs","bookings","Payment signoff","","0","Planned","","","Yellow","2026-09-18","Payment signoff"
"TixHub Booking Platform","Product/Engineering","2026-09-09","Wednesday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Vendor/admin final test","Vendor/admin UI","Vendor/admin APIs","Vendor/admin DB","Role signoff","","0","Planned","","","Yellow","2026-09-18","Role signoff"
"TixHub Booking Platform","Product/Engineering","2026-09-10","Thursday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","User final test","User UI","User APIs","User data","User signoff","","0","Planned","","","Yellow","2026-09-18","User signoff"
"TixHub Booking Platform","Product/Engineering","2026-09-11","Friday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Release documentation","User/vendor notes","API notes","Migration notes","Release notes draft","","0","Planned","","","Yellow","2026-09-18","Release notes draft"
"TixHub Booking Platform","Product/Engineering","2026-09-12","Saturday","10:00-15:00","5","","Sprint 5 - UAT and Deployment","Documentation buffer","Screenshots/checklists","Runbook updates","Backup notes","Docs complete","","0","Planned","","","Yellow","2026-09-18","Docs complete"
"TixHub Booking Platform","Product/Engineering","2026-09-14","Monday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Final production checklist","UI final build","Backend final start","DB backup","Checklist complete","","0","Planned","","","Yellow","2026-09-18","Checklist complete"
"TixHub Booking Platform","Product/Engineering","2026-09-15","Tuesday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Staging approval","Staging UI","Staging API","Staging DB","Staging signoff","","0","Planned","","","Yellow","2026-09-18","Staging signoff"
"TixHub Booking Platform","Product/Engineering","2026-09-16","Wednesday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Production deployment prep","Build artifacts","Runtime env","Migration scripts","Deploy plan signed","","0","Planned","","","Yellow","2026-09-18","Deploy plan signed"
"TixHub Booking Platform","Product/Engineering","2026-09-17","Thursday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Production cutover rehearsal","Smoke scripts","Health endpoints","Backup/restore check","Launch readiness","","0","Planned","","","Yellow","2026-09-18","Launch readiness"
"TixHub Booking Platform","Product/Engineering","2026-09-18","Friday","10:00-18:00","8","","Sprint 5 - UAT and Deployment","Final delivery and launch","Final UI check","Final API check","Final DB check","Production launch report","","0","Expected Complete","","","Green","2026-09-18","Production launch report"
